komnr,2015,2016,2017,2018,2019,2020,2021
5061,0.0,1.7,5.6,8.1,7.7,8.0,10.9
5401,117.5,116.3,137.6,137.5,135.7,112.3,117.6
5402,69.4,61.0,67.7,67.8,73.4,78.7,72.6
5403,57.3,52.6,55.4,52.7,42.6,41.1,41.4
5404,5.0,5.0,6.0,6.0,6.0,6.0,7.0
5405,20.2,20.2,16.8,17.9,17.4,13.9,14.7
5406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5411,14.6,14.2,16.7,16.3,19.2,14.1,14.0
5412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5413,0.0,0.0,0.0,0.0,0.0,3.5,4.2
5414,2.8,4.6,4.2,4.4,5.0,5.1,6.8
5415,3.9,3.8,2.5,2.0,0.0,2.6,2.0
5416,19.9,18.0,23.2,17.6,20.3,20.1,19.7
5417,6.1,5.5,5.2,6.2,4.5,5.0,4.4
5418,8.9,6.1,7.2,7.3,6.0,6.7,7.5
5419,8.0,7.6,6.7,9.2,10.5,9.4,6.7
5420,5.8,6.2,4.8,5.4,5.1,5.6,4.8
5421,39.1,42.6,42.5,38.1,43.0,37.1,42.8
5422,16.4,15.7,17.6,16.2,18.7,22.0,19.5
5423,8.8,9.5,9.7,9.5,12.0,9.7,10.1
5424,7.1,13.5,20.6,20.1,19.5,19.7,5.1
5425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5427,7.4,10.0,7.9,8.9,9.2,8.4,8.7
5428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5429,1.9,2.2,2.6,3.0,2.5,3.0,4.8
5430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5433,6.0,8.0,8.0,7.0,3.2,4.0,0.0
5434,3.8,3.9,5.2,7.0,6.3,5.9,4.0
5435,6.5,6.7,6.0,3.0,5.8,5.6,6.1
5436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5438,0.0,0.0,5.1,0.0,0.0,0.0,3.8
5439,5.9,5.9,5.2,5.4,4.2,5.7,5.4
5440,0.0,0.0,1.3,1.3,1.3,0.0,0.0
5441,8.1,6.2,6.8,7.3,9.8,9.7,7.3
5442,4.4,4.6,4.2,3.3,3.6,0.0,0.0
5443,4.0,3.4,3.6,2.2,5.0,3.9,3.4
5444,9.0,7.7,7.6,17.4,19.7,25.8,22.5
