komnr,2015,2016,2017,2018,2019,2020,2021
5402,6.79,6.49,6.3,5.2,5.6,5.6,4.1
5403,5.56,6.69,7.6,5.1,3.4,4.8,6.6
5404,3.37,3.17,3.3,5.8,6.1,3.1,2.4
5405,4.74,4.3,3.2,5.4,9.2,10.7,11.6
5406,8.33,9.16,8.100000000000001,9.5,8.4,5.8,6.7
5411,8.92,8.81,7.4,8.4,8.6,6.3,5.7
5413,2.69,3.18,3.2,3.2,3.0,2.5,4.6
5414,3.53,3.36,3.2,2.8,2.1,2.7,2.4
5415,15.03,15.13,12.8,11.4,14.3,10.6,10.5
5416,7.18,7.85,8.0,11.8,11.1,7.1,7.1
5417,8.7,9.06,8.0,4.6,8.2,3.9,3.7
5418,1.46,1.79,1.5,2.0,2.3,1.6,1.4
5419,3.56,4.01,4.3,4.2,4.0,3.3,3.1
5420,6.0,5.82,5.5,4.3,4.6,4.2,2.3
5421,21.18,23.759999999999998,20.9,23.3,27.2,6.8,6.2
5422,6.94,6.01,6.0,5.9,5.0,5.3,4.9
5423,4.2,3.89,3.5,4.6,4.6,4.1,3.9
5424,4.42,4.54,4.7,4.3,4.4,4.1,4.4
5425,8.54,5.46,5.7,5.9,6.3,4.9,7.9
5426,2.89,2.54,2.7,2.7,2.4,2.6,2.8
5427,8.59,9.88,8.1,7.9,7.9,8.0,7.7
5428,5.51,4.75,5.2,7.6,16.7,12.9,10.6
5429,6.46,7.51,6.2,7.0,5.4,5.8,5.4
5430,2.95,3.55,3.0,3.5,3.2,3.5,3.3
5432,2.76,4.24,4.5,3.6,4.2,3.4,4.4
5433,1.11,1.48,1.5,1.4,2.5,2.4,2.4
5434,4.09,4.21,4.4,3.3,2.8,2.5,3.1
5435,3.25,3.93,3.3,3.1,3.1,2.1,2.1
5436,4.65,4.88,4.7,6.4,6.7,5.2,4.7
5437,9.01,9.53,12.4,29.9,31.9,28.1,26.4
5438,2.53,3.66,4.1,6.3,6.3,8.7,5.6
5439,6.17,4.06,4.1,3.4,4.2,3.9,2.8
5440,6.29,6.29,5.5,5.4,4.2,5.0,4.4
5441,13.96,4.17,4.0,4.7,6.6,7.3,7.3
5442,11.03,9.63,8.2,5.5,6.2,4.6,5.0
5443,2.79,2.64,2.6,3.1,3.0,8.2,7.8
5444,6.62,5.34,2.9,3.3,3.6,4.0,4.1
