komnr,2015,2016,2017,2018,2019,2020,2021
1576,4.3,4.4,5.1,6.3,6.8,7.2,6.4
5001,12.62,12.889999999999999,12.8,11.7,10.3,4.6,4.9
5006,8.54,9.15,9.7,12.1,11.9,7.5,7.1
5007,11.79,12.77,13.4,13.1,12.2,5.5,5.9
5014,3.62,3.87,3.5,4.1,4.8,3.9,4.5
5057,15.09,17.82,17.099999999999998,16.8,11.0,7.2,7.1
5058,16.4,19.73,14.7,15.5,12.3,6.9,6.1
5020,2.89,3.12,4.1,4.4,5.1,4.3,4.3
5021,5.49,6.67,6.8,5.3,4.5,4.7,5.1
5022,4.32,5.35,3.7,3.3,3.8,3.4,3.6
5025,3.52,3.49,3.1,3.1,3.4,3.8,3.3
5026,2.43,2.78,1.7,2.3,2.5,7.3,5.1
5027,3.9,4.61,4.2,4.8,4.9,4.7,4.4
5028,5.47,5.88,5.4,5.3,4.8,5.0,5.6
5029,2.72,2.69,2.3,2.7,2.4,3.3,3.0
5031,4.82,4.2,4.8,5.4,6.8,5.9,5.5
5032,4.34,5.3,5.3,5.2,4.9,5.4,5.2
5033,3.99,3.84,3.7,3.1,3.1,3.1,2.9
5034,2.2,3.69,3.2,3.8,3.2,3.2,3.1
5035,7.46,10.37,8.3,8.5,6.7,5.7,5.2
5036,5.67,5.12,5.0,4.9,5.7,6.8,6.3
5037,6.24,6.3,7.5,7.6,6.9,6.7,7.4
5038,6.09,5.04,5.1,4.9,3.9,3.8,3.5
5041,5.3,5.08,5.4,6.6,5.7,6.4,6.2
5042,2.35,3.18,3.7,3.5,3.8,4.0,4.2
5043,1.76,1.8,2.6,2.9,2.8,3.2,5.1
5044,1.75,1.58,2.5,2.4,2.4,6.2,7.1
5045,3.09,2.84,2.3,2.0,1.9,2.4,1.9
5046,3.67,5.12,4.5,4.3,5.9,5.3,5.1
5047,3.39,2.59,2.8,3.0,2.5,2.2,2.7
5049,1.57,2.11,3.1,2.7,2.5,3.3,4.1
5060,6.21,8.08,9.6,8.600000000000001,7.8,4.0,5.3
5052,2.13,2.24,2.3,4.8,6.5,6.0,5.5
5053,2.83,3.17,3.8,3.5,4.5,4.1,4.7
5054,8.47,9.02,9.100000000000001,4.6,5.0,6.6,7.0
5055,0.0,0.0,0.0,0.0,0.0,4.9,4.2
5056,0.0,0.0,0.0,0.0,0.0,10.1,8.1
5059,0.0,0.0,0.0,0.0,0.0,4.0,4.2
1804,4.63,4.49,4.5,4.9,5.0,5.0,5.1
1806,0.0,0.0,0.0,0.0,0.0,5.5,5.7
1811,3.24,5.1,2.4,2.6,2.5,2.8,3.5
1812,2.44,2.3,2.0,2.4,4.4,2.9,4.0
1813,4.94,5.29,6.1,5.9,5.8,6.3,6.6
1815,2.98,2.46,2.3,2.4,2.1,2.6,2.7
1816,4.14,3.49,3.3,3.6,3.8,3.0,2.0
1818,5.09,3.84,3.2,1.7,1.5,2.2,2.7
1820,3.36,3.17,3.9,4.6,4.4,3.9,3.6
1822,3.36,3.69,3.2,2.6,3.2,3.8,3.5
1824,4.24,4.69,5.6,5.9,6.6,6.8,6.8
1825,1.43,2.95,2.5,2.1,2.0,2.9,2.7
1826,5.1,6.71,4.3,5.0,6.2,5.3,4.6
1827,4.28,3.23,3.1,2.7,4.2,3.9,4.4
1828,2.29,2.55,2.6,1.8,1.8,1.6,3.1
1832,5.04,4.58,4.8,4.2,3.7,3.6,6.1
1833,5.3,6.07,6.3,6.9,6.8,6.6,7.3
1834,5.04,10.7,13.7,16.7,12.6,13.8,11.2
1835,3.54,3.08,3.6,3.1,3.1,2.6,2.8
1836,3.03,5.61,6.7,5.2,5.1,9.3,7.7
1837,4.5,5.08,5.7,6.9,6.6,6.8,5.1
